date,event_id,tournament,category,surface,player1,player2,start_ts,odds_p1,odds_p2
2025-08-29,14558673,"UTR PTT San Diego Men 02, Group C",UTR Men,Hard,Elias Shokry,Landon Ardila,1756505700,1.9,1.9
2025-08-29,14558660,"UTR PTT San Diego Men 02, Group C",UTR Men,Hard,JanMagnus Johnson,Carter Pate,1756503900,1.9,1.9
2025-08-29,14558657,"UTR PTT San Diego Men 02, Group D",UTR Men,Hard,Agustin Mastri,Derrick Chen,1756483200,1.9,1.9
2025-08-29,14558655,"UTR PTT San Diego Men 02, Group D",UTR Men,Hard,Matic Kriznik,Joaquin Benoit,1756494000,1.9,1.9
2025-08-29,14558659,"UTR PTT San Diego Men 02, Group D",UTR Men,Hard,Agustin Mastri,Joaquin Benoit,1756499400,1.9,1.9
2025-08-29,14558656,"UTR PTT San Diego Men 02, Group D",UTR Men,Hard,Derrick Chen,Matic Kriznik,1756514700,1.9,1.9
2025-08-29,14516898,"UTR PTT Boise Women 02, Group A",UTR Women,Hard,Ava Markham,Paula Schaefer,1756388700,1.9,1.9
2025-08-29,14518758,"UTR PTT Boise Women 02, Group A",UTR Women,Hard,Stella Beldiman,Ariane Lesterhuis,1756408200,1.9,1.9
2025-08-29,14516909,"UTR PTT Boise Women 02, Group A",UTR Women,Hard,Stella Beldiman,Paula Schaefer,1756488600,1.9,1.9
2025-08-29,14518756,"UTR PTT Boise Women 02, Group A",UTR Women,Hard,Waverly Potter,Ariane Lesterhuis,1756488600,1.9,1.9
2025-08-29,14516900,"UTR PTT Boise Women 02, Group B",UTR Women,Hard,Tereza Polakova,Selma Stefania Cadar,1756397700,1.9,1.9
2025-08-29,14518762,"UTR PTT Boise Women 02, Group B",UTR Women,Hard,Avery Olsen,Ryan Kershner,1756405800,1.9,1.9
2025-08-29,14516912,"UTR PTT Boise Women 02, Group B",UTR Women,Hard,Tereza Polakova,Ryan Kershner,1756398600,1.9,1.9
2025-08-29,14559041,"UTR PTT Boise Women 02, Group B",UTR Women,Hard,Avery Olsen,Nikoline Gullacksen,1756402800,1.9,1.9
2025-08-29,14516901,"UTR PTT Boise Women 02, Group B",UTR Women,Hard,Olive Maunupau,Selma Stefania Cadar,1756492200,1.9,1.9
2025-08-29,14559042,"UTR PTT Boise Women 02, Group B",UTR Women,Hard,Tereza Polakova,Nikoline Gullacksen,1756485900,1.9,1.9
2025-08-29,14516899,"UTR PTT Boise Women 02, Group C",UTR Women,Hard,Autumn Rabjohns,Masa Viriant,1756391400,1.9,1.9
2025-08-29,14516905,"UTR PTT Boise Women 02, Group C",UTR Women,Hard,Lily Revak,Ella Piron,1756411200,1.9,1.9
2025-08-29,14516917,"UTR PTT Boise Women 02, Group C",UTR Women,Hard,Adesuwa Osabuohien,Ella Piron,1756478700,1.9,1.9
2025-08-29,14516892,"UTR PTT Boise Women 02, Group C",UTR Women,Hard,Lily Revak,Masa Viriant,1756476000,1.9,1.9
2025-08-29,14516920,"UTR PTT Boise Women 02, Group D",UTR Women,Hard,Miruna Scarlat,Allison Nicole Isaacs,1756396500,1.9,1.9
2025-08-29,14518755,"UTR PTT Boise Women 02, Group D",UTR Women,Hard,Sophia Dumitrascu,Amiya Bowles,1756408500,1.9,1.9
2025-08-29,14518761,"UTR PTT Boise Women 02, Group D",UTR Women,Hard,Polina Marakhtanova,Amiya Bowles,1756483200,1.9,1.9
2025-08-29,14516915,"UTR PTT Boise Women 02, Group D",UTR Women,Hard,Sophia Dumitrascu,Allison Nicole Isaacs,1756475100,1.9,1.9
2025-08-29,14520693,"UTR PTT Knoxville Women 03, Group A",UTR Women,Hard,Dalayna Hewitt,Tanika Saravanan,1756388700,1.9,1.9
2025-08-29,14520694,"UTR PTT Knoxville Women 03, Group A",UTR Women,Hard,Gabriella Rawles,Reese Frank,1756396500,1.9,1.9
2025-08-29,14520692,"UTR PTT Knoxville Women 03, Group A",UTR Women,Hard,Dalayna Hewitt,Reese Frank,1756476900,1.9,1.9
2025-08-29,14520695,"UTR PTT Knoxville Women 03, Group A",UTR Women,Hard,Saray Yli-Piipari,Tanika Saravanan,1756470600,1.9,1.9
2025-08-29,14520493,"UTR PTT Knoxville Women 03, Group B",UTR Women,Hard,Neena Feldman,Yuliya Hatouka,1756404600,1.9,1.9
2025-08-29,14520497,"UTR PTT Knoxville Women 03, Group B",UTR Women,Hard,Yilin Yan,Karma Yacavino,1756412700,1.9,1.9
2025-08-29,14520496,"UTR PTT Knoxville Women 03, Group B",UTR Women,Hard,Alden Russell,Karma Yacavino,1756472400,1.9,1.9
2025-08-29,14520495,"UTR PTT Knoxville Women 03, Group B",UTR Women,Hard,Yilin Yan,Yuliya Hatouka,1756470600,1.9,1.9
2025-08-29,14542447,"UTR PTT Knoxville Women 03, Group C",UTR Women,Hard,Alyson Shannon,Leyla Fiorella Britez Risso,1756401300,1.9,1.9
2025-08-29,14542446,"UTR PTT Knoxville Women 03, Group C",UTR Women,Hard,Briley Rhoden,Alaina Lisanti,1756410300,1.9,1.9
2025-08-29,14559605,"UTR PTT Knoxville Women 03, Group C",UTR Women,Hard,Katya Shepherd Johnson,Alaina Lisanti,1756396800,1.9,1.9
2025-08-29,14542445,"UTR PTT Knoxville Women 03, Group C",UTR Women,Hard,Briley Rhoden,Leyla Fiorella Britez Risso,1756476000,1.9,1.9
2025-08-29,14542449,"UTR PTT Knoxville Women 03, Group C",UTR Women,Hard,Carlota Moreno,Alaina Lisanti,1756480500,1.9,1.9
2025-08-29,14559604,"UTR PTT Knoxville Women 03, Group C",UTR Women,Hard,Katya Shepherd Johnson,Leyla Fiorella Britez Risso,1756477800,1.9,1.9
2025-08-29,14520699,"UTR PTT Knoxville Women 03, Group D",UTR Women,Hard,Sara Nayar,Amy Lee,1756384200,1.9,1.9
2025-08-29,14520511,"UTR PTT Knoxville Women 03, Group D",UTR Women,Hard,Julia Adams,Francesca Mattioli,1756400100,1.9,1.9
2025-08-29,14520698,"UTR PTT Knoxville Women 03, Group D",UTR Women,Hard,Rutuja Chaphalkar,Amy Lee,1756474200,1.9,1.9
2025-08-29,14520508,"UTR PTT Knoxville Women 03, Group D",UTR Women,Hard,Sara Nayar,Francesca Mattioli,1756475100,1.9,1.9
2025-08-29,14516817,"UTR PTT Olomouc Women 05, Group A",UTR Women,Hard,Aneta Poborilova,Aneta Holubova,1756445400,1.9,1.9
2025-08-29,14516795,"UTR PTT Olomouc Women 05, Group A",UTR Women,Hard,Natalie Salkova,Sofia Milatova,1756457100,1.9,1.9
2025-08-29,14516813,"UTR PTT Olomouc Women 05, Group B",UTR Women,Hard,Nikola Koprivova,Nela Linhartova,1756453500,1.9,1.9
2025-08-29,14516804,"UTR PTT Olomouc Women 05, Group B",UTR Women,Hard,Valentina Vachkova,Magdalena Smekalova,1756449000,1.9,1.9
2025-08-29,14564651,"UTR PTT Olomouc Women 05, Group B",UTR Women,Hard,Viktorie Zidelova,Nela Linhartova,1756454400,1.9,1.9
2025-08-29,14516806,"UTR PTT Olomouc Women 05, Group C",UTR Women,Hard,Karina Dunda,Simona Wirglerova,1756377300,1.9,1.9
2025-08-29,14545248,"UTR PTT Olomouc Women 05, Group C",UTR Women,Hard,Karina Dunda,Izabela Heinzova,1756444500,1.9,1.9
